City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,sandnessjoen,66.0217,12.6316,-0.71,98,100,11.04,NO,1706978773
212,igarka,67.4667,86.5833,-12.26,96,100,4.49,RU,1706978836
213,mata-utu,-13.2816,-176.1745,26.78,90,100,8.85,WF,1706978836
214,mancio lima,-7.6142,-72.8958,26.04,89,100,1.54,BR,1706978836
215,marquette,46.5333,-87.6335,4.53,63,2,0.45,US,1706978836
216,piacabucu,-10.4056,-36.4344,30.18,59,54,4.85,BR,1706978836
217,phongsali,21.6833,102.1058,9.15,63,1,1.01,LA,1706978836
218,labytnangi,66.6572,66.4183,-25.12,100,100,1.2,RU,1706978837
219,springs,-26.25,28.4,24.76,73,94,4.72,ZA,1706978837
220,vorkuta,67.5,64.0,-18.41,91,100,4.71,RU,1706978837
221,gori,41.9842,44.1158,2.11,80,75,6.48,GE,1706978837
222,mao,39.8885,4.2658,14.31,72,0,3.09,ES,1706978837
223,gamay,12.3854,125.2979,24.97,83,35,3.56,PH,1706978838
224,korba,22.35,82.6833,18.23,33,0,2.19,IN,1706978838
225,qa'en,33.7265,59.1844,0.79,58,19,1.02,IR,1706978838
226,rawson,-43.3002,-65.1023,18.75,28,13,11.42,AR,1706978838
227,richards bay,-28.783,32.0377,24.86,73,4,5.64,ZA,1706978838
228,batna,35.556,6.1741,11.56,50,0,2.61,DZ,1706978838
229,ko pha ngan,9.7578,100.0291,24.78,77,21,4.17,TH,1706978839
230,al kharijah,25.4514,30.5464,13.14,30,0,4.12,EG,1706978839
231,newman,37.3138,-121.0208,8.91,91,81,1.39,US,1706978820
232,dahab,28.501,34.5134,17.0,46,29,2.15,EG,1706978839
233,choibalsan,48.0667,114.5,-23.76,88,1,2.14,MN,1706978839
234,osakarovka,50.565,72.5692,-7.35,93,99,7.98,KZ,1706978653
235,port blair,11.6667,92.75,26.02,83,20,0.51,IN,1706978840
236,vilyuchinsk,52.9306,158.4028,-17.85,83,21,4.67,RU,1706978840
237,ironwood,46.4547,-90.171,-2.55,74,0,1.54,US,1706978840
238,nizhnyaya salda,58.0776,60.7202,-11.34,94,100,4.08,RU,1706978840
239,ghat,24.9647,10.1728,15.32,18,0,3.57,LY,1706978840
240,ust-nera,64.5667,143.2,-28.0,100,99,1.91,RU,1706978841
241,margaret river,-33.95,115.0667,16.86,58,48,6.82,AU,1706978841
242,constantia,44.1833,28.65,5.39,70,52,5.25,RO,1706978646
243,tambopata,-12.7333,-69.1833,30.94,74,75,1.03,PE,1706978841
244,christchurch,-43.5333,172.6333,8.6,85,40,1.54,NZ,1706978841
245,tralee,52.2704,-9.7026,10.14,100,100,0.0,IE,1706978841
246,margate,51.3813,1.3862,12.15,81,98,3.58,GB,1706978793
247,point pedro,9.8167,80.2333,26.48,72,9,5.5,LK,1706978842
248,ouesso,1.6136,16.0517,30.57,35,100,0.28,CG,1706978842
249,thunder bay,48.4001,-89.3168,-8.01,86,20,2.06,CA,1706978842
250,arnprior,45.4334,-76.3494,-1.4,79,88,1.08,CA,1706978842
251,pisco,-13.7,-76.2167,26.68,78,94,4.12,PE,1706978843
252,enewetak,11.3474,162.3373,26.5,84,53,9.82,MH,1706978843
253,kerikeri,-35.2268,173.9474,12.17,88,2,1.6,NZ,1706978843
254,puerto maldonado,-12.6,-69.1833,31.22,74,75,1.03,PE,1706978843
255,sinabang,2.4803,96.3801,26.06,83,100,4.57,ID,1706978843
256,dakhla,23.6848,-15.958,25.01,44,96,6.17,EH,1706978844
257,yelizovo,53.1873,158.3805,-17.92,60,20,4.0,RU,1706978844
258,as sulayyil,20.4607,45.5779,18.14,23,0,6.3,SA,1706978844
259,jamestown,42.097,-79.2353,3.34,78,40,2.06,US,1706978734
260,chimoio,-19.1164,33.4833,19.51,88,34,1.81,MZ,1706978844
261,rongelap,11.1635,166.8941,26.45,82,21,9.39,MH,1706978844
262,al qadarif,14.0349,35.3834,25.57,15,24,5.29,SD,1706978844
263,temiskaming shores,47.4938,-79.7153,-8.11,70,17,2.46,CA,1706978547
264,urumqi,43.801,87.6005,-14.47,85,100,1.0,CN,1706978845
265,chibougamau,49.9168,-74.3659,-7.21,79,100,4.12,CA,1706978845
266,tianchang,37.9981,114.0156,-2.81,62,69,0.69,CN,1706978846
